Sample	Number_Unique_Mapped
All1_Gae_2_Unique.sorted.bam_chrA07_random.bam.stats	42422
All1_Gae_2_Unique.sorted.bam_chrA08.bam.stats	427577
All1_Gae_2_Unique.sorted.bam_chrA08_random.bam.stats	40468
All1_Gae_2_Unique.sorted.bam_chrA09.bam.stats	1094620
All1_Gae_2_Unique.sorted.bam_chrA09_random.bam.stats	85863
All1_Gae_2_Unique.sorted.bam_chrA10.bam.stats	498960
All1_Gae_2_Unique.sorted.bam_chrA10_random.bam.stats	38169
All1_Gae_2_Unique.sorted.bam_chrAnn_random.bam.stats	1155025
All1_Gae_2_Unique.sorted.bam_chrC01.bam.stats	693429
All1_Gae_2_Unique.sorted.bam_chrC01_random.bam.stats	48289
All1_Gae_2_Unique.sorted.bam_chrC02.bam.stats	595309
All1_Gae_2_Unique.sorted.bam_chrC02_random.bam.stats	63474
All1_Gae_2_Unique.sorted.bam_chrC03.bam.stats	1144835
All1_Gae_2_Unique.sorted.bam_chrC03_random.bam.stats	114858
All1_Gae_2_Unique.sorted.bam_chrC04.bam.stats	822027
All1_Gae_2_Unique.sorted.bam_chrC04_random.bam.stats	52717
All1_Gae_2_Unique.sorted.bam_chrC05.bam.stats	879233
All1_Gae_2_Unique.sorted.bam_chrC05_random.bam.stats	69027
All1_Gae_2_Unique.sorted.bam_chrC06.bam.stats	633582
All1_Gae_2_Unique.sorted.bam_chrC06_random.bam.stats	46407
All1_Gae_2_Unique.sorted.bam_chrC07.bam.stats	874112
All1_Gae_2_Unique.sorted.bam_chrC07_random.bam.stats	55079
All1_Gae_2_Unique.sorted.bam_chrC08.bam.stats	792591
All1_Gae_2_Unique.sorted.bam_chrC08_random.bam.stats	114808
All1_Gae_2_Unique.sorted.bam_chrC09.bam.stats	830574
All1_Gae_2_Unique.sorted.bam_chrC09_random.bam.stats	39893
All1_Gae_2_Unique.sorted.bam_chrCnn_random.bam.stats	1323373
All1_Gae_2_Unique.sorted.bam_chrUnn_random.bam.stats	64367
All1_Gae_2_Unique.sorted.bam_J11.bam.stats	18160
All1_Gae_2_Unique.sorted.bam_J12.bam.stats	105613
All1_Gae_2_Unique.sorted.bam_J13.bam.stats	42815
All1_Gae_2_Unique.sorted.bam_J14.bam.stats	18519
All1_Gae_2_Unique.sorted.bam_J15.bam.stats	44889
All1_Gae_2_Unique.sorted.bam_J16.bam.stats	8206
All1_Gae_2_Unique.sorted.bam_J17.bam.stats	59742
All1_Gae_2_Unique.sorted.bam_J18.bam.stats	57605
All1_Gae_3_Unique.sorted.bam_chrA01.bam.stats	685124
All1_Gae_3_Unique.sorted.bam_chrA01_random.bam.stats	42330
All1_Gae_3_Unique.sorted.bam_chrA02.bam.stats	564185
All1_Gae_3_Unique.sorted.bam_chrA02_random.bam.stats	26855
All1_Gae_3_Unique.sorted.bam_chrA03.bam.stats	1147708
All1_Gae_3_Unique.sorted.bam_chrA03_random.bam.stats	108439
All1_Gae_3_Unique.sorted.bam_chrA04.bam.stats	582737
All1_Gae_3_Unique.sorted.bam_chrA04_random.bam.stats	38581
All1_Gae_3_Unique.sorted.bam_chrA05.bam.stats	649017
All1_Gae_3_Unique.sorted.bam_chrA05_random.bam.stats	95378
All1_Gae_3_Unique.sorted.bam_chrA06.bam.stats	754695
All1_Gae_3_Unique.sorted.bam_chrA06_random.bam.stats	92913
All1_Gae_3_Unique.sorted.bam_chrA07.bam.stats	599479
All1_Gae_3_Unique.sorted.bam_chrA07_random.bam.stats	51870
All1_Gae_3_Unique.sorted.bam_chrA08.bam.stats	504549
All1_Gae_3_Unique.sorted.bam_chrA08_random.bam.stats	49226
All1_Gae_3_Unique.sorted.bam_chrA09.bam.stats	1241244
All1_Gae_3_Unique.sorted.bam_chrA09_random.bam.stats	107024
All1_Gae_3_Unique.sorted.bam_chrA10.bam.stats	583566
All1_Gae_3_Unique.sorted.bam_chrA10_random.bam.stats	45267
All1_Gae_3_Unique.sorted.bam_chrAnn_random.bam.stats	1555186
All1_Gae_3_Unique.sorted.bam_chrC01.bam.stats	707891
All1_Gae_3_Unique.sorted.bam_chrC01_random.bam.stats	55588
All1_Gae_3_Unique.sorted.bam_chrC02.bam.stats	727642
All1_Gae_3_Unique.sorted.bam_chrC02_random.bam.stats	75462
All1_Gae_3_Unique.sorted.bam_chrC03.bam.stats	1327897
All1_Gae_3_Unique.sorted.bam_chrC03_random.bam.stats	131643
All1_Gae_3_Unique.sorted.bam_chrC04.bam.stats	976233
All1_Gae_3_Unique.sorted.bam_chrC04_random.bam.stats	65181
All1_Gae_3_Unique.sorted.bam_chrC05.bam.stats	1040163
All1_Gae_3_Unique.sorted.bam_chrC05_random.bam.stats	78530
All1_Gae_3_Unique.sorted.bam_chrC06.bam.stats	750879
All1_Gae_3_Unique.sorted.bam_chrC06_random.bam.stats	57966
All1_Gae_3_Unique.sorted.bam_chrC07.bam.stats	1013470
All1_Gae_3_Unique.sorted.bam_chrC07_random.bam.stats	65407
All1_Gae_3_Unique.sorted.bam_chrC08.bam.stats	919571
All1_Gae_3_Unique.sorted.bam_chrC08_random.bam.stats	128633
All1_Gae_3_Unique.sorted.bam_chrC09.bam.stats	991909
All1_Gae_3_Unique.sorted.bam_chrC09_random.bam.stats	47834
