"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"b_Hmax_Intercept",12.652310092837,0.00907959602383366,0.246382137179258,12.1746467165737,12.4850461585943,12.6531244328201,12.8186969699252,13.1365226399043,736.351853211319,1.00930427788816
"b_k_Intercept",1.46880052163557,0.00212457794274721,0.116374337944063,1.26079383682853,1.3884576607851,1.46211769084406,1.54127926957486,1.71231929111945,3000.33058999139,1.00225951015053
"b_I_Intercept",136.903592479448,0.0552097144869129,1.44004705494608,134.077113277847,135.935046467081,136.888552442212,137.860926120478,139.747459025166,680.334295502624,1.00634848712586
"b_Hmin_Intercept",0.0943114803088088,0.000670829200512675,0.0670829200512675,-0.0401849052949923,0.0499786423829244,0.0946046525413774,0.139524006457287,0.225271473522241,10000,0.999842610108814
"sd_ID__Hmax_Intercept",2.83801895258242,0.00458587830879593,0.178320947348296,2.51638296476692,2.71362076652553,2.8298634961971,2.95149608532434,3.2150180263549,1512.02744187015,1.00421954600444
"sd_ID__k_Intercept",0.84505153383035,0.00236181095161414,0.100698799556267,0.670617223972485,0.774825043656622,0.838058637855439,0.905710167517304,1.06867159350906,1817.85116331412,1.00134833307294
"sd_ID__I_Intercept",17.7600757888383,0.0357472610187266,1.11830058726909,15.7013120238939,16.9845945174213,17.7146732346233,18.4808236060943,20.0518999179245,978.659380131332,1.00158383260373
"sigma",0.879665720913,0.00074704130030697,0.0375248645978128,0.809213152358347,0.853552136758043,0.878529505645915,0.904639825004777,0.955311610549217,2523.18470056245,1.00143248701866
"r_ID__Hmax[Da_Ae,Intercept]",5.9082678170678,0.0111134103273086,0.624394268499766,4.73286716961356,5.48519054297501,5.8833182548641,6.31482938550405,7.18476609666289,3156.62590759538,1.00253274645154
"r_ID__Hmax[Da_Ol1,Intercept]",1.87529878695856,0.0640967066495098,3.11569838403971,-4.65807207451121,0.173259847994349,2.55817172420546,4.13244319673885,6.50844545918783,2362.86759796112,1.00128100250814
"r_ID__Hmax[F1,Intercept]",-0.525857463970699,0.013561635071904,0.984943794379702,-2.18366455260987,-1.21025178480405,-0.61991341583933,0.0376114267264546,1.73812292685805,5274.71244713714,1.00069001651631
"r_ID__Hmax[ID_1,Intercept]",8.12927628037084,0.00694174464318754,0.694174464318754,6.76101595134175,7.66283693574685,8.12956542126944,8.59514464849604,9.49130882490354,10000,1.00119703654903
"r_ID__Hmax[ID_10,Intercept]",2.48626789984415,0.00714582445944768,0.714582445944768,1.11128041934784,1.99678560442274,2.48551526704789,2.96227868542709,3.91715744139686,10000,1.00072539220761
"r_ID__Hmax[ID_100,Intercept]",-3.30567702901912,0.00596855650713633,0.596855650713633,-4.45742174154903,-3.7092964735722,-3.30543803259129,-2.9034565182235,-2.12564992351368,10000,1.00137360430588
"r_ID__Hmax[ID_101,Intercept]",-1.53581228778813,0.0062973934138757,0.62973934138757,-2.762899333519,-1.95054521320565,-1.54969135816295,-1.12283153083792,-0.271795349524235,10000,1.00119392487086
"r_ID__Hmax[ID_102,Intercept]",-1.4298732397202,0.0248425681651674,2.05118093888715,-5.66176121953166,-2.7455132066172,-1.36991739873964,-0.0536199143826616,2.46161993360294,6817.34015394545,1.00043388345196
"r_ID__Hmax[ID_103,Intercept]",-1.29467513599546,0.00720966042948032,0.720966042948032,-2.66256849331664,-1.78738406189677,-1.31309340155426,-0.819315871292853,0.150927783164175,10000,1.00148264634843
"r_ID__Hmax[ID_104,Intercept]",0.557474562951363,0.00591982324157248,0.591982324157248,-0.585937744320612,0.156878690863066,0.551695701082595,0.957468278422107,1.73607621301804,10000,1.00107557912458
"r_ID__Hmax[ID_105,Intercept]",0.351996536884018,0.00677042117300008,0.677042117300008,-0.960722123577197,-0.0989981937533071,0.343488436656018,0.804231451930203,1.7103050915552,10000,1.00045874438557
"r_ID__Hmax[ID_106,Intercept]",-0.352338051278566,0.00727431801482735,0.727431801482735,-1.75561553066065,-0.832600103197937,-0.361109866737127,0.124844252586371,1.11772541570039,10000,1.00089267534834
"r_ID__Hmax[ID_107,Intercept]",1.49114629045792,0.0109907013604265,1.09907013604265,-0.428728475648627,0.76439204829595,1.4091191060814,2.11702183617487,3.92282600169592,10000,1.00037450120585
"r_ID__Hmax[ID_109,Intercept]",-1.59152955189174,0.00778360129507983,0.778360129507983,-3.02102693041273,-2.13137631459086,-1.61756171213524,-1.0942202206827,0.022020016682779,10000,1.00071641933768
"r_ID__Hmax[ID_111,Intercept]",-2.24261088887384,0.00728200457010318,0.728200457010318,-3.62166297070501,-2.74310248138459,-2.24567048029946,-1.76511084389179,-0.77880415759341,10000,1.00088385761866
"r_ID__Hmax[ID_112,Intercept]",-0.808503341569715,0.00858206772048106,0.858206772048106,-2.40544541766807,-1.40886545173345,-0.847119060233673,-0.252272719317788,0.991561876538611,10000,1.00046018163769
"r_ID__Hmax[ID_113,Intercept]",-3.87459145479916,0.00614274944697671,0.614274944697671,-5.08088570782076,-4.2823687429893,-3.87535203830969,-3.4678519523233,-2.65519869893079,10000,1.00135433935711
"r_ID__Hmax[ID_114,Intercept]",0.555077086690927,0.0202853458735483,1.31666000383059,-1.53599166588059,-0.36779729920905,0.346727797740474,1.31277551369408,3.56927434256242,4212.9126285522,1.00020526230137
"r_ID__Hmax[ID_116,Intercept]",-0.352567163903372,0.00700168464691596,0.700168464691596,-1.69005951831691,-0.835851136196265,-0.36700067321234,0.112686841772087,1.04670972801285,10000,1.0009048691112
"r_ID__Hmax[ID_117,Intercept]",-3.18559078319262,0.00730785382234994,0.730785382234994,-4.58174112306997,-3.67844156839522,-3.20657729904472,-2.71647436265959,-1.7134785603618,10000,1.0007288882865
"r_ID__Hmax[ID_118,Intercept]",1.22475039856547,0.00754355714705555,0.754355714705555,-0.209185779304314,0.698007150393861,1.20002081207949,1.73483363630296,2.74644611145095,10000,1.00104263417501
"r_ID__Hmax[ID_119,Intercept]",-2.27139647916205,0.025834119010104,1.7549722626698,-4.70689802312615,-3.43756847923504,-2.62361805020527,-1.55930912772223,2.35963513889744,4614.80337783998,1.00050339371049
"r_ID__Hmax[ID_12,Intercept]",4.31924732679549,0.00699131652069058,0.699131652069058,2.9651048599116,3.84114920227127,4.31529422775105,4.78044348378331,5.70941767285856,10000,1.00066731099389
"r_ID__Hmax[ID_120,Intercept]",0.595301365289107,0.00715709140153012,0.715709140153012,-0.781724065852014,0.116475084157762,0.582065257755743,1.07133455273081,2.02222192290805,10000,1.00058865929797
"r_ID__Hmax[ID_121,Intercept]",2.49301298155526,0.00597898605906287,0.597898605906287,1.31202395880436,2.08518790390967,2.48952399755034,2.89912659387539,3.65330911115038,10000,1.00189996378429
"r_ID__Hmax[ID_122,Intercept]",-3.49979536147095,0.00949095729603147,0.949095729603147,-5.18287884972035,-4.15802168367899,-3.54492656265468,-2.90490425101262,-1.48880100333986,10000,1.00009475962134
"r_ID__Hmax[ID_123,Intercept]",-3.19134496162757,0.00745545219438634,0.745545219438634,-4.59340517443671,-3.71278025480843,-3.20656033844689,-2.69150566918808,-1.69677839826881,10000,1.00079616492952
"r_ID__Hmax[ID_124,Intercept]",-1.57988798589684,0.00773630735163277,0.773630735163277,-3.02214404325609,-2.11224547916257,-1.60375308797147,-1.07830535520583,0.0135882706317307,10000,1.0003771841097
"r_ID__Hmax[ID_125,Intercept]",-2.53162949649512,0.00798387893878075,0.798387893878075,-4.00879999158877,-3.08027372402756,-2.5658248221875,-2.01836590048831,-0.878703406436139,10000,1.0006310983542
"r_ID__Hmax[ID_126,Intercept]",1.59184783824329,0.0114178449932479,1.14178449932479,-0.376453633414921,0.841791195649408,1.49343222506639,2.23054757641812,4.12161160718904,10000,1.0001422470304
"r_ID__Hmax[ID_127,Intercept]",-0.64787635054696,0.00664173249219082,0.664173249219081,-1.93187535316115,-1.10647867922134,-0.649447292465314,-0.197871127385908,0.668286646638903,10000,1.00102203722245
"r_ID__Hmax[ID_128,Intercept]",-0.9609076716626,0.021574666882871,1.38391034571734,-2.99413919024085,-1.91623873013037,-1.20082655815216,-0.249954533030106,2.4898121135589,4114.60087692555,1.00044530050941
"r_ID__Hmax[ID_129,Intercept]",-2.70619769320541,0.0285199068713069,2.0740289440619,-5.67602005537976,-4.21866209935227,-3.18197964884502,-1.52547426100185,2.35522530497447,5288.51109338439,1.0001275708388
"r_ID__Hmax[ID_13,Intercept]",1.086332418198,0.0268637371837839,2.38371794544681,-3.44071485918836,-0.610502789899857,1.11696019335457,2.78164849251476,5.69410967243656,7873.66389580474,1.0002539256078
"r_ID__Hmax[ID_130,Intercept]",-1.07079954698107,0.00725291976626805,0.725291976626805,-2.37088750359346,-1.56648253119087,-1.10324116342928,-0.633110121768748,0.463580388176146,10000,1.00015056354184
"r_ID__Hmax[ID_132,Intercept]",0.676756225176418,0.0118358100637402,1.18358100637402,-1.32112636477277,-0.112863242654744,0.582189674589883,1.30512978244479,3.46558279018069,10000,1.00068148393252
"r_ID__Hmax[ID_133,Intercept]",1.27125659710866,0.0102159639782639,1.02159639782639,-0.649598399904476,0.584061451494914,1.24161218134127,1.91239698677986,3.39247653695508,10000,1.00027297286966
"r_ID__Hmax[ID_134,Intercept]",-2.35605264946358,0.0343324052719319,2.19792495592823,-5.36362743767007,-4.0470716453412,-2.88128507067997,-1.00804315226921,2.77911532868364,4098.42752336289,1.00060552013288
"r_ID__Hmax[ID_135,Intercept]",0.525162467042861,0.0106720023017958,1.06720023017958,-1.40390236662928,-0.195813687644729,0.459814016015819,1.16178921026298,2.83521379613048,10000,1.00030224184045
"r_ID__Hmax[ID_136,Intercept]",0.246284118020376,0.0195444715379663,1.58522350443286,-2.49303843452133,-0.849173489228634,0.10221794687334,1.22822789781993,3.70748504459713,6578.59487014641,1.00088710795979
"r_ID__Hmax[ID_137,Intercept]",-0.077544719598077,0.0166266648506041,1.26509955331679,-2.17353528771212,-0.90315768674818,-0.220474384940601,0.550616703023021,2.99969600486251,5789.47415451656,1.00035133306079
"r_ID__Hmax[ID_138,Intercept]",2.84756148513592,0.00769470562225924,0.769470562225924,1.4256964659167,2.31785219282839,2.82399833724714,3.3492812226128,4.39502988241531,10000,1.00105294280511
"r_ID__Hmax[ID_139,Intercept]",-1.06512238914801,0.0278009984602435,2.02316316258515,-4.51113888531996,-2.54388261835498,-1.22658771814705,0.227591746853438,3.31820161472849,5295.91529638372,0.999715816805216
"r_ID__Hmax[ID_14,Intercept]",1.38695866745094,0.00708515126844449,0.708515126844449,0.015496708421304,0.92080953126698,1.36981400918605,1.83795315810354,2.81573649328237,10000,1.00047571573249
"r_ID__Hmax[ID_142,Intercept]",-0.244761244462827,0.0118078630084128,1.18078630084128,-2.27966257190403,-1.03016556598385,-0.357509439855076,0.406891055975709,2.43704077527183,10000,1.00085400789816
"r_ID__Hmax[ID_143,Intercept]",-1.95401230420767,0.00731453522384287,0.731453522384287,-3.32386449471165,-2.44997451195857,-1.97297303632699,-1.48655363657403,-0.457459606246528,10000,1.00062594503209
"r_ID__Hmax[ID_144,Intercept]",-1.57827558613039,0.00568999980944171,0.568999980944171,-2.68158402274878,-1.96492037604532,-1.58579454987117,-1.19799313419064,-0.45011058944419,10000,1.00137082425641
"r_ID__Hmax[ID_147,Intercept]",2.09365497703986,0.0166037512003092,1.28075183395284,-0.0315540427893686,1.23086214046342,1.9504906200612,2.80821112604283,5.0675231329178,5950.00785078097,1.00061104583224
"r_ID__Hmax[ID_148,Intercept]",1.29428221550383,0.0262817771058272,1.98523429883288,-1.68634103844741,-0.140068581782357,0.943932493745621,2.4273587237848,6.06748615216592,5705.76767498913,0.99994727113233
"r_ID__Hmax[ID_15,Intercept]",-1.0441317789595,0.0166540788418263,1.29357565549189,-3.15155008518483,-1.89531183357979,-1.19508369503623,-0.37284901970871,1.99556954968332,6033.12654666922,1.00006844027871
"r_ID__Hmax[ID_152,Intercept]",3.79963569028458,0.00704428277665242,0.704428277665242,2.41492770733073,3.32533385260998,3.79416590022239,4.24895973594156,5.22156609886875,10000,1.00074542174342
"r_ID__Hmax[ID_153,Intercept]",0.40508499352769,0.0103166645912928,1.03166645912928,-1.48700620770293,-0.290863301270896,0.376632298274476,1.02410145946828,2.58171042173589,10000,1.00008808144469
"r_ID__Hmax[ID_154,Intercept]",-1.56719344822343,0.0219189050055229,1.54352751768009,-3.82467268223802,-2.57323993457602,-1.82948561686223,-0.889276549127905,2.36299349374017,4958.96500881729,1.00087704534872
"r_ID__Hmax[ID_155,Intercept]",-0.127037531924502,0.023907995475534,1.68441576371317,-2.9031906588868,-1.35514200927836,-0.313517266625697,0.927044693018381,3.57851786034887,4963.77702229137,0.999846289916515
"r_ID__Hmax[ID_156,Intercept]",5.9215659489146,0.00952297203099986,0.952297203099986,4.12996831033664,5.26935257987442,5.89278749359976,6.52912643021891,7.90240603852622,10000,1.00072841842366
"r_ID__Hmax[ID_157,Intercept]",2.12780924008438,0.0191329074518435,1.91329074518435,-1.45568723101551,0.820361408162504,2.04465460075944,3.35920505364995,6.03021803472551,10000,1.00035809544962
"r_ID__Hmax[ID_158,Intercept]",0.26539915854202,0.011164416429447,0.860660847366802,-1.23506358133658,-0.309931945893796,0.196393237908395,0.770074608420387,2.16540205534733,5942.81265071621,1.00137584476985
"r_ID__Hmax[ID_16,Intercept]",-0.346852404678441,0.00727978932760748,0.727978932760748,-1.72425966942298,-0.831441388212664,-0.365313999488349,0.12447429688894,1.13327281245635,10000,1.0009254856107
